Name	Set	ImageFile	Type	Title	Tags	Emblem	Color	Strength	Defense	Blast	Destiny	Required_Power	Required_Color	Required_Emblem	Text	Help	Number
Playing Dirty	PowerUp	1c27PlayDirty.JPG	Event				Yellow				2		1x Yellow		Burn an opponent's power.		1C27
Pretty Good Move	PowerUp	1c28pgm.jpg	Event				Red				4	2	2x Red		Make your NetNavi defense +4.		1C28
Technical Difficulties	PowerUp	1c29TechnicalDiff.JPG	Event				Yellow				4		2x Yellow		Destroy a resource.		1C29
MagicMan	PowerUp	1c3Magicman.jpg	NetNavi	Riddler		MagicMan		2	2	3					Whenever you play a BattleChip, your MagicMan is blast -2.		1C3
That's too easy	PowerUp	1c30tte.JPG	Event				Green				5	3	2x Green		Take any card from your deck into hand. Shuffle your deck.		1C30
Uncommon NetBattler	PowerUp	1c31uncommonnetbattler.jpg	Event				Green				3	2	1x Green		Draw 2 cards.		1C31
BattleChip Geek	PowerUp	1c32BCG.jpg	Resource				Green				4	2			SPEND: Burn 2 power to draw 3 cards.		1C32
Big Trouble	PowerUp	1c33BigTrouble.JPG	Resource				Blue				1	2			SPEND: Make a NetNavi blast -1 until end of next turn.		1C33
BucketHead	PowerUp	1c34buckethead.jpg	Resource			GutsMan	Yellow				3			1x GutsMan	SPEND: Spend a resource for no effect to power up twice.		1C34
Channeling	PowerUp	1c35channeling.jpg	Resource			Roll	Blue				3	4		1x Roll	SPEND: Place 2 cards from hand in your power gauge.		1C35
Charging Up	PowerUp	1c36Chargingup.jpg	Resource			ElecMan	Green				4			1x ElecMan	SPEND: Burn a power to recharge 2 energy.	(Recharge an energy by placing a random card from your discard pile beneath your deck.)	1C36
Clever Trick	PowerUp	1c37Clevertrick.jpg	Resource				Green				3				SPEND: If you played a BattleChip this turn, draw a card.		1C37
Clowning Around	PowerUp	1c38clowningaround.jpg	Resource				Green				1	3		1x WackoMan	SPEND: Your opponent draws 3 cards.		1C38
Counter Attack	PowerUp	1c39counterattack.jpg	Resource			NumberMan	Yellow				2			1x NumberMan	SPEND: Lose 2 energy to burn an opponent's power.		1C39
NumberMan	PowerUp	1c4Numberman.PNG	NetNavi	Calculator		NumberMan		1	3	2							1C4
CyberWarrior	PowerUp	1c40cyberwarrior.jpg	Resource				Yellow				4				SPEND: Burn 2 power to destroy an opponent's resource.		1C40
Data Scan	PowerUp	1c41datascan.jpg	Resource			Roll	Blue				1			1x Roll	SPEND: Place all of your resources in play (including this one) in your power gauge.		1C41
Delicious and Nutritious	PowerUp	1c42dan.jpg	Resource				Green				1				SPEND: Recharge and energy.	(Recharge an energy by placing a random card from your discard pile beneath your deck.)	1C42
Determined	PowerUp	1c43determined.jpg	Resource				Red				1				SPEND: Lose an energy to make your opponent lose an energy.		1C43
Difference in Power	PowerUp	1c44dip.jpg	Resource				Blue				1	2			SPEND: Make a NetNavi blast +1 until end of next turn.		1C44
Double Zap	PowerUp	1c45doublezap.jpg	Resource			ElecMan	Yellow				3			1x ElecMan	SPEND: Blast. This does not count against your blast limit.		1C45
Eat More Fish	PowerUp	1c46EMF.jpg	Resource				Green				3	2			SPEND: Burn a power to draw 2 cards.		1C46
Fiery NetNavi	PowerUp	1c47fierynetnavi.jpg	Resource				Red				2	3			SPEND: Add your NetNavi's defense to its strength.		1C47
Focus	PowerUp	1c48focus.jpg	Resource				Yellow				2				SPEND: Lose 2 energy to power up.		1C48
Great Surprise	PowerUp	1c49greatsurprise.jpg	Resource				Blue				2				SPEND: Discard a card to make your opponent discard a card.		1C49
Roll	PowerUp	1c5roll.jpg	NetNavi	Hip and Cool		Roll		1	2	2					Whenever you play a BattleChip, your Roll is defense +2.		1C5
GutsHammer	PowerUp	1c50gutshammer.jpg	Resource			GutsMan	Red				2	3		1x GutsMan	SPEND: Add your GutsMan blast to your blast destiny.		1C50
Handy Work	PowerUp	1c51handywork.jpg	Resource				Blue				3	3			SPEND: Play a resource.		1C51
It's an Emergency	PowerUp	1c52IaE.jpg	Resource				Yellow				3	2			SPEND: Burn 1 power to place a card from your discard pile in your power gauge.		1C52
It's Not Over Yet	PowerUp	1c53inoy.jpg	Resource				Green				1				SPEND: Draw a card.		1C53
Let 'em Have It	PowerUp	1c54letemhaveit.JPG	Resource				Yellow				2				SPEND: Burn a power to burn an opponent's power.		1C54
Looking Hot	PowerUp	1c55LookingHot.jpg	Resource			TorchMan	Blue				2	3		1x TorchMan	SPEND: Opponent can't play events and BattleChips.		1C55
Mind Tricks	PowerUp	1c56mindtricks.jpg	Resource			MagicMan	Green				3	4		1x MagicMan	SPEND: Burn a power to take any card from your deck into hand. Shuffle your deck, then place this card beneath your deck.		1C56
No One Can Escape	PowerUp	1c57NOCE.jpg	Resource				Blue				3	2			SPEND: Discard a card to cancel a green blast destiny.		1C57
Odds Are Against You	PowerUp	1c58oaay.jpg	Resource			MagicMan	Blue				2			1x MagicMan	SPEND: Burn a power to make a NetNavi blast +2 until end of next turn. Place this card beneath your deck.		1C58
Power Pastries	PowerUp	1c59PoPa.jpg	Resource				Red				1				SPEND: Add 1 to your blast destiny.		1C59
WackoMan	PowerUp	1c6wackoman.jpg	NetNavi	Whimsical		WackoMan		1	3	3					Whenever you play a BattleChip, you may recharge an energy.		1C6
Ready For Action	PowerUp	1c60rfa.jpg	Resource			NumberMan	Red				2			1x NumberMan	SPEND: Lose 2 energy to add 3 to your blast destiny.		1C60
Ready For Battle	PowerUp	1c61readyforbattle.jpg	Resource				Yellow				3	2			SPEND: Discard a yellow card to power up twice.		1C61
Recharge and Try Again	PowerUp	1c62rata.JPG	Resource				Green				4				SPEND: Burn 2 power to recharge 3 energy.	(Recharge an energy by placing a random card from your discard pile beneath your deck.)	1C62
Rival	PowerUp	1c63rival.JPG	Resource				Red				1	2			SPEND: Make your NetNavi defense +1.		1C63
Routine Defense	PowerUp	1c64RoutineDefense.jpg	Resource				Blue				3	2			SPEND: Discard a card to cancel a yellow blast destiny.		1C64
Send in the Clowns	PowerUp	1c65sendintheclowns.jpg	Resource			WackoMan	Blue				1			1x WackoMan	SPEND: Your opponent discards down to 3 cards.		1C65
Show No Mercy	PowerUp	1c66SNM.jpg	Resource				Blue				3	2			SPEND: Discard a card to cancel a red blast destiny.		1C66
SmackDown	PowerUp	1c67smackdown.jpg	Resource				Yellow				5	3			SPEND: Discard 2 cards to destroy 2 of your opponent's resources.		1C67
Strength Under Pressure	PowerUp	1c68sup.jpg	Resource				Red				3	3			SPEND: Discard a card to make your NetNavi defense +3.		1C68
Take Control	PowerUp	1c69takecontrol.jpg	Resource				Green				1				SPEND: Draw a card to make your opponent draw a card.		1C69
AirShot	PowerUp	1c7airshot.jpg	BattleChip								3	2			Burn 1 power to make your NetNavi defense +3.		1C7
Two for One	PowerUp	1c70tfo.jpg	Resource			MegaMan	Green				4	2		1x MegaMan	SPEND: Take the next 3 cards you draw randomly from your discard pile instead of your deck.		1C70
Useless One	PowerUp	1c71uselessone.jpg	Resource				Blue				3	2			SPEND: Discard a card to cancel a blue blast destiny.		1C71
Winning Hand	PowerUp	1c72winninghand.jpg	Resource				Yellow				2	2			SPEND: If you played a BattleChip this turn, power up.		1C72
Worthy Opponent	PowerUp	1c73WOpp.jpg	Resource				Red				1	2			SPEND: Add 2 to your blast destiny.		1C73
AreaSteal	PowerUp	1c8Areasteal.jpg	BattleChip								4				Burn 1 power to make your NetNavi strength +2. You may play an additional BattleChip.		1C8
Boomer2	PowerUp	1c9boomer2.jpg	BattleChip								4		1x Yellow		Burn 1 power to make your NetNavi strength +4.		1C9
MegaMan	Promo	1p1megaman3.jpg	NetNavi	CyberHero		MegaMan		2	1	2					Whenever you discard down, you may place discarded cards beneath your deck instead of your discard pile.		1P1
EnergyBomb	Promo	1p2energybomb.jpg	BattleChip								5		3x Yellow		When you lose energy during battle, place the lost cards first in your power gauge (until it is full).		1P2
Guardian	Promo	1p3guardian.jpg	BattleChip								5		2x Green		Discard 2 cards. When you lose energy during battle, take the lost cards into hand.		1P3
Blue Battler	Promo	1p4BB.JPG	Resource				Green				1	3			SPEND: Burn 3 power to take 2 cards from your discard pile into hand.		1P4
Dish a Little Dirt	Promo	1p5.jpg	Resource				Blue				4	3			SPEND: Discard a card and note its destiny. Cancel a blast destiny of that value.		1P5
Friendly Ms. Mari	Promo	1p6msmari.JPG	Resource				Yellow				3	3			SPEND: Burn 2 power to place 2 cards from your discard pile in your power gauge.		1P6
Rock Solid	Promo	1p7RockSolid.jpg	Resource				Red				2	2			SPEND: Lose 2 energy and note which has the smaller destiny. Your opponent loses that much energy.		1P7
Upload	PowerUp	1r100upload.jpg	Resource				Green				4	2			SPEND: Burn 2 power to take a card from your discard pile into hand.		1R100
Barrier	PowerUp	1r74barrier.JPG	BattleChip								3	3	1x Red		Add your NetNavi's strength to defense.		1R74
BigHammer1	PowerUp	1r75BH1.JPG	BattleChip			GutsMan					3		2x Yellow	1x GutsMan	Make your GutsMan strength +5.		1R75
Bubbler	PowerUp	1r76bubbler.jpg	BattleChip			Roll					4		2x Blue	1x Roll	Make your Roll defense +4.		1R76
Discord	PowerUp	1r77Discord.jpg	BattleChip			WackoMan					3		2x Green	1x WackoMan	Discard 2 green cards to make your WackoMan strength +2 for each card in your opponent's hand.		1R77
HeatShot	PowerUp	1r78HeatShot.jpg	BattleChip			TorchMan					1		2x Red	1x TorchMan	Burn 2 power to make your TorchMan strength +3 for each TorchMan card you have in play.		1R78
Invisible	PowerUp	1r79Invisible.JPG	BattleChip			MagicMan					4		2x Blue	1x MagicMan	Make your MagicMan strength +4. Place this card beneath your deck.		1R79
Lightning1	PowerUp	1r80lightning1.JPG	BattleChip								4		2x Yellow		When your opponent loses energy during battle, lost cards come first from his or her power gauge.		1R80
LongSword	PowerUp	1r81longsword.jpg	BattleChip								3	3	1x Green		Your NetNavi is strength +1 for each card in our hand.		1R81
MiniBoomer	PowerUp	1r82Miniboomer.jpg	BattleChip			NumberMan					3		2x Red	1x NumberMan	Lose 2 energy and note their destinies. Add them to your NumberMan's strength.		1R82
Spreader	PowerUp	1r83spreader.jpg	BattleChip			MegaMan					5		2x Green	1x MegaMan	Discard a card. Whenever your opponent loses an energy, you may draw a card.		1R83
Thunder1	PowerUp	1r84thunder1.jpg	BattleChip			ElecMan					5		2x Yellow	1x ElecMan	Discard 2 yellow cards to make your ElecMan strength +2 for each card in your power gauge.		1R84
WideSword	PowerUp	1r85widesword.jpg	BattleChip								5		1x Blue		Discard a card to reduce a NetNavi's strength to 0.		1R85
Disaster Strikes	PowerUp	1r86DS.jpg	Event				Red				3	2	3x Red		If your blast destiny is greater than 7, burn 2 power to make your opponent lose 10 energy.		1R86
Drowning	PowerUp	1r87drowning.jpg	Event				Green				3	2	1x Green		All players count their cards in hand, shuffle those hands into their decks, and draw that number of cards.		1R87
Flush Out Your Opponent	PowerUp	1r88foyo.jpg	Event				Blue				3	2	1x Blue		Return up to 2 resources to their owner's hands		1R88
Intense Power	PowerUp	1r89IP.jpg	Event				Yellow				5	3	2x Yellow		Reveal the cards in your power gauge. If their total destiny is 12 or greater, search your opponent's deck and place 4 cards from it in his or her discard pile. Then the opponent shuffles that deck.		1R89
Calculated	PowerUp	1r90calculated.jpg	Resource			NumberMan	Yellow				4			1x NumberMan	SPEND: Whenever you lose an energy, you may place that card in your power gauge. You may do this twice.		1R90
Energized	PowerUp	1r91energized.jpg	Resource			ElecMan	Yellow				4	3		1x ElecMan	SPEND: Place this resource in your power gauge.		1R91
Flame Brain	PowerUp	1r92FlameBrain.jpg	Resource			TorchMan	Blue				1			1x TorchMan	SPEND: Opponent discards a card.		1R92
GutsThump	PowerUp	1r93gutsthump.jpg	Resource			GutsMan	Red				5			1x GutsMan	SPEND: Spend a resource for no effect to make your opponent's NetNavi defense 0.		1R93
Heightened Defenses	PowerUp	1r94HeDe.jpg	Resource			MegaMan	Red				4			1x MegaMan	SPEND: Discard 2 cards to make your MegaMan defense +4.		1R94
Magic Block	PowerUp	1r95Magicblock.jpg	Resource			MagicMan	Blue				4			1x MagicMan	SPEND: Discard 2 cards to cancel a blast destiny. Place this card beneath your deck.		1R95
RollBlast	PowerUp	1r96rollblast.jpg	Resource			Roll	Yellow				2			1x Roll	SPEND: Burn 2 power and note which has the smaller destiny. Place that many cards from the bottom of your discard pile in your power gauge.		1R96
SteamRoll	PowerUp	1r97steamroll.jpg	Resource			WackoMan	Green				3			1x WackoMan	SPEND: Burn 4 power to recharge 2 energy for each card in your opponent's hand.	(Recharge an energy by placing a random card from your discard pile beneath your deck.)	1R97
Superior Technique	PowerUp	1r98ST.jpg	Resource			MegaMan	Red				4			1x MegaMan	SPEND: Discard 2 cards to add 5 to your blast destiny.		1R98
Towering Inferno	PowerUp	1r99ToweringInferno.jpg	Resource			TorchMan	Red				4			1x TorchMan	SPEND: Burn a power to make opponent lose 2 energy.		1R99
Incredible Speed	PowerUp	1sr105InSp.jpg	Event				Red				5		4x Red		Add 8 to your blast destiny.		1SR105
Method For Well-Being	PowerUp	1sr106MFWB.jpg	Event				Yellow				5		4x Yellow		Power up until your power gauge is full and burn all of your opponent's power.		1SR106
Perfectly Executed	PowerUp	1sr107PE.JPG	Event				Green				5		4x Green		Whenever your opponent loses an energy, you recharge an energy.	(Recharge an energy by placing a random card from your discard pile beneath your deck.)	1SR107
System Error	PowerUp	1sr108systemerror.jpg	Event				Blue				3	3	4x Blue		Burn 2 power. When you are about to lose energy during battle, your opponent loses that energy instead		1SR108
Count Zap	PowerUp	1sr109CountZap.jpg	Resource	Metal Head	NetOp	ElecMan	Green				5			1x ElecMan	Whenever you play another ElecMan card, you may recharge an energy.	(Recharge an energy by placing a random card from your discard pile beneath your deck.)	1SR109
Dex	PowerUp	1sr110dex.jpg	Resource	Jokester	NetOp	GutsMan	Yellow				4	4		1x GutsMan	Whenever you play another GutsMan card, you may destroy a resource.		1SR110
Higsby	PowerUp	1sr111Higsby.jpg	Resource	Nerdy	NetOp	NumberMan	Red				3			1x NumberMan	Whenever you play another NumberMan card, you may place a card from your discard pile on top of your deck.		1SR111
Lan	PowerUp	1sr112Lan.jpg	Resource	NetBattler	NetOp	MegaMan	Green				1	2		1x MegaMan	Whenever you play another MegaMan card, you may draw 2 cards.		1SR112
Maddy	PowerUp	1sr113Maddy.JPG	Resource	Trickster	NetOp	WackoMan	Green				3			1x WackoMan	Whenever you play another WackoMan card, you may make your opponent draws 2 cards.		1SR113
Maylu	PowerUp	1sr114Maylu.jpg	Resource	SweetHeart	NetOp	Roll	Yellow				5			1x Roll	Whenever you play another Roll card, you may look at the cards in your power gauge and replace them in any order.		1SR114
Mr. Match	PowerUp	1sr115MrMatch.jpg	Resource	Red Hot	NetOp	TorchMan	Red				3			1x TorchMan	Whenever you play another TorchMan card, you may make your opponent lose an energy.		1SR115
Yahoot	PowerUp	1sr116yahoot.jpg	Resource	Guru	NetOp	MagicMan	Blue				2			1x MagicMan	Whenever you play another MagicMan card, you may place a card from hand in your power gauge.		1SR116
MegaMan	PowerUp	1st101MM1.PNG	NetNavi	NetWarrior		MegaMan		2	2	2							1St101
TorchMan	PowerUp	1st102Torchman.JPG	NetNavi	HotHead		TorchMan		2	2	2							1St102
Fire it Up	PowerUp	1st103fireitup.jpg	Resource				Red				2	3			SPEND: Lose 1 energy to add 3 to your blast destiny.		1St103
Rich Kid	PowerUp	1st104richkid.jpg	Resource				Green				2				SPEND: Burn a power to recharge 2 energy.		1St104
DarkCannon	LevelUp	1T1.jpg	BattleChip								5		3x Red		Spend 1 Level Up card. All cards revealed when you blast provide blast destiny.		1T1
All About Endurance	LevelUp	1T2.jpg	Event				Green				5	3	2x Green		Spend 1 Level Up card. Discard 2 green cards to recharge 8 energy.	(Recharge an energy by placing a random card from your discard pile beneath your deck.)	1T2
Double Power	LevelUp	1T3.png	Event				Yellow				4	3	1x Yellow		Spend 2 Level Up cards. Blast. This does not count against your blast limit.		1T3
Infamous Dr. Wily	LevelUp	1T4.jpg	Event				Blue				7		2x Blue		Spend 3 Level Up Cards. Discard a card to make your opponent discard his or her hand.		1T4
Pink Pixel Brat	LevelUp	1T5.jpg	Event				Red				4	2	1x Red		Spend 2 Level Up cards. Make a NetNavi defense 0.		1T5
LEVEL UP!	LevelUp	1T6.jpg	Level Up!	MegaMan		MegaMan											1T6
LEVEL UP!	LevelUp	1T7.jpg	Level Up!	GutsMan		GutsMan											1T7
LEVEL UP!	LevelUp	1T8.jpg	Level Up!	Roll		Roll											1T8
Counter1	PowerUp	1ur117counter1.jpg	BattleChip								5	4			Discard 3 cards to make all of your cards destiny +5.		1UR117
Jealousy	PowerUp	1ur118jealousy.jpg	BattleChip								5	5			Burn 4 power to make your NetNavi strength +10.		1UR118
LifeAura	PowerUp	1ur119.jpg	BattleChip								5	5			Burn 5 power to make opponent discard his or her hand. Then you draw a card and recharge an energy for each card opponent discarded.		1UR119
M-Cannon	PowerUp	1ur120mcannon.jpg	BattleChip								3	5			Burn 5 power to make your NetNavi strength +3 for each resource in play.		1UR120
Best Throw Ever	PowerUp	1ur121BTE.jpg	Event			NumberMan	Red				5	5		3x NumberMan	Lose 3 energy and note the total of their destinies. Add that amount to your blast destiny.		1UR121
BusterBlast	PowerUp	1ur122busterblast.jpg	Event			MegaMan	Green				7			3x MegaMan	Burn 1 power to draw 4 cards.		1UR122
Feel The Thump	PowerUp	1ur123feelthethump.jpg	Event			GutsMan	Yellow				3			3x GutsMan	Spend 2 resources for no effect to destroy all of your opponent's resources and burn all of your opponent's power.		1UR123
Fire Factory	PowerUp	1ur124FireFactory.jpg	Event			TorchMan	Red				5	5		3x TorchMan	Burn 3 power to make your opponent lose 12 energy.		1UR124
HeartBurn	PowerUp	1ur125heartburn.jpg	Event			WackoMan	Blue				5	5		3x WackoMan	Burn 2 power to make you opponent discard his or her hand and lose an energy for each card discarded.		1UR125
Shocker	PowerUp	1ur126Shocker.jpg	Event			ElecMan	Yellow				5	3		3x ElecMan	Burn 2 power to blast from your opponent's power gauge twice. This does not count against your blast limit.		1UR126
Underestimated	PowerUp	1ur127underestimated.jpg	Event			Roll	Blue				5	3		3x Roll	Burn 3 power. Whenever you are about to lose an energy, you may recharge an energy instead. You may do this 5 times.		1UR127
Wheel of Magic	PowerUp	1ur128wom.jpg	Event			MagicMan	Green				7			3x MagicMan	Burn 2 power to take any 2 cards from your deck into hand. Shuffle your deck.		1UR128
Attentive Opponent	Promo	2-1AO.jpg	Resource				Green				3	4			SPEND: Discard 4 cards. For each card of a different destiny you discard, each player draws a card and you recharge an energy.		2*1
Do-Si-Do	Promo	2-2dosido.jpg	Resource				Yellow				3	4			SPEND: Discard 4 cards. For each card of a different destiny you discard, burn an opponent's power and power up.		2*2
AirMan	GrandPrix	2c1airman.jpg	NetNavi	Ready to Blow		AirMan		1	2	3					Whenever you play a BattleChip, you may return up to 2 resources to their owners' hands.		2C1
MegaMan	Promo	S7.gif	NetNavi	NetCity Defender		MegaMan		2	2	4					Whenever you play a BattleChip, you may burn an opponent's power.		2C1
HolyPanel	GrandPrix	2c10holypanel.JPG	BattleChip								2	3			Whenever you spend a resource, you may recharge an energy.		2C10
MokoRush1	GrandPrix	2c11MR1.JPG	BattleChip								3		1x Red		Whenever your opponent blasts, you may make your NetNavi defense +3.		2C11
Vulcan2	GrandPrix	2c12Vulcan2.jpg	BattleChip								1	3			Make your NetNavi strength +3.		2C12
WhiteWeb1	GrandPrix	2c13ww1.jpg	BattleChip								3	2			Your opponent cannot recharge energy.		2C13
Chip Junkie	GrandPrix	2c14chipjunkie.jpg	Event				Red				5		1x Red		Reveal a random card from your discard pile. If it is a BattleChip, you may play it. This does not count against your BattleChip limit.		2C14
Choose Carefully	GrandPrix	2c15choosecarefully.jpg	Event				Green				5		1x Green		Name a card type. Lose energy one card at a time until you lose a card of that type. Take that card into hand.		2C15
Counting Down	GrandPrix	2c16CountingDown.jpg	Event				Yellow				5		1x Yellow		Look at the cards in your power gauge and replace them in any order.		2C16
Loud and Clear	GrandPrix	2c17lac.jpg	Event				Blue				5		1x Blue		Opponent discards down to 3 cards.		2C17
Air Head	GrandPrix	2c18airhead.JPG	Resource			AirMan	Blue				2			1x AirMan	SPEND: Place a card from hand on top of your deck to make a NetNavi +2 until end of next turn.		2C18
Bitten	GrandPrix	2c19bitten.jpg	Resource				Blue				3	2			SPEND: Discard a card with your NetNavi's emblem to place 2 cards from hand in your power gauge.		2C19
IceMan	GrandPrix	2c2Iceman.JPG	NetNavi	Deceptively Cool		IceMan		1	3	4					Whenever you play a resource, you may make your opponent play a card from hand in his or her power gauge.		2C2
Charge Forward	GrandPrix	2c20ChargeForward.jpg	Resource				Yellow				3				SPEND: Discard a yellow card to place a card from your discard pile into your power gauge.		2C20
Clean 'Em Out	GrandPrix	2c21CEO.jpg	Resource				Red				1				SPEND: Discard a red card to make your NetNavi defense +3.		2C21
Dogged Determination	GrandPrix	2c22doggeddeterm.jpg	Resource				Blue				1				SPEND: Discard a blue card to cancel a BattleChip.		2C22
Gaia	GrandPrix	2c23gaia.jpg	Resource		Virus		Blue				4	4			SPEND: Burn a power to prevent your opponent from playing events and BattleChips.		2C23
Gloomer	GrandPrix	2c24gloomer.jpg	Resource		Virus		Green				3	3			SPEND: Make your opponent take a card from his or her discard pile into hand to draw 2 cards.		2C24
Guidance	GrandPrix	2c25guidance.jpg	Resource			MegaMan	Blue				4			1x MegaMan	SPEND: Place a blue card from hand in your power gauge. Place this card in your power gauge.		2C25
Head to Fist	GrandPrix	2c26HTF.jpg	Resource			SnakeMan	Red				2			1x SnakeMan	SPEND: Discard a card and note its destiny. Add that amount to your blast destiny.		2C26
Headstrong NetNavi	GrandPrix	2c27headstrong.jpg	Resource				Blue				1	3			SPEND: Discard 2 cards to reduce a NetNavi's strength to 0.		2C27
Hot Ice	GrandPrix	2c28hotice.jpg	Resource			IceMan	Yellow				3	4		1x IceMan	SPEND: Place a resource in its owner's power gauge.		2C28
It's Electric	GrandPrix	2c29itselectric.jpg	Resource				Yellow				1	2			SPEND: Discard 2 cards to burn 3 of an opponent's power.		2C29
MegaMan	GrandPrix	2c3megaman2.JPG	NetNavi	BattleMaster		MegaMan		2	3	4							2C3
Kilby	GrandPrix	2c30kilby.jpg	Resource		Virus		Green				4	4			SPEND: Make your opponent take a card from his or her discard pile into hand to recharge 3 energy.		2C30
Mettaur	GrandPrix	2c31mettaur.jpg	Resource		Virus		Yellow				4	4			SPEND: Lose 3 energy to burn an opponent's power.		2C31
More to Come	GrandPrix	2c32MTC.jpg	Resource			SnakeMan	Green				3			1x SnakeMan	SPEND: Discard a card an note its destiny. Take a card of that destiny into hand from your discard pile.		2C32
Peace	GrandPrix	2c33peace.jpg	Resource				Blue				2				SPEND: Lose 2 energy to make a NetNavi blast +2 until end of next turn.		2C33
Permanent Results	GrandPrix	2c34PR.jpg	Resource			PharaohMan	Red				2	2		1x PharaohMan	SPEND: Burn a power to make your opponent lose 3 energy.		2C34
Playing Hooky	GrandPrix	2c35playinghooky.JPG	Resource				Green				3	2			SPEND: Discard 2 cards to take a card into hand from your deck. Shuffle your deck.		2C35
Playtime	GrandPrix	2c36Playtime.jpg	Resource				Green				3				SPEND: Discard a green card to draw 2 cards.		2C36
Raise the Temp	GrandPrix	2c37RTT.jpg	Resource				Red				1	2			SPEND: Place a card from your discard pile on top of your deck.		2C37
Ready, Aim,…	GrandPrix	2c38readyaim.JPG	Resource				Yellow				2	2			SPEND: Discard a card with your NetNavi's emblem to burn 2 of an opponent's power.		2C38
Roll of Thunder	GrandPrix	2c39Rollofthunder.jpg	Resource				Yellow				3	3			SPEND: Discard a card to blast. This does not count against your blast limit.		2C39
SnakeMan	GrandPrix	2c4snakeman.jpg	NetNavi	Sly Bandit		SnakeMan		1	3	2							2C4
Rush	GrandPrix	2c40rush.jpg	Resource	Roll Over	Ally		Green				3	3			SPEND: Place all viruses in play beneath their owners' decks.		2C40
Shrimpy2	GrandPrix	2c41shrimpy.jpg	Resource		Virus		Blue				2	3			SPEND: Burn a power to add your NetNavi's defense to your blast destiny.		2C41
Silly	GrandPrix	2c42Silly.JPG	Resource		Virus		Yellow				4	5			SPEND: Lose 3 energy to destroy an opponent's resource.		2C42
Snowed In	GrandPrix	2c43snowedin.jpg	Resource			IceMan	Green				1			1x IceMan	SPEND: Lose an energy to draw 2 cards.		2C43
Spikey	GrandPrix	2c44spikey.jpg	Resource		Virus		Red				1				SPEND: Discard a card to play a BattleChip. This does not count against your BattleChip limit.		2C44
Spin Cycle	GrandPrix	2c45spincycle.jpg	Resource			AirMan	Green				3			1x AirMan	SPEND: Place a card from your power gauge on top of your deck to recharge 2 energy.		2C45
Talking Smack	GrandPrix	2c46TS.jpg	Resource			ProtoMan	Blue				3			1x ProtoMan	SPEND: Make your ProtoMan blast -1.		2C46
The Way	GrandPrix	2c47theway.jpg	Resource				Green				2				SPEND: Discard a card with your NetNavi's emblem to recharge 3 energy.		2C47
